Question,Answer
የሙዝ ሰብል የመጣው ከየት ነው?,ደቡብ ምስራቅ እስያ
በደቡብ ምስራቅ እስያ የሙዝ ሰብል ምን ያህል ጊዜ ይመረታል?,በሺዎች የሚቆጠሩ ዓመታት
የሙዝ ሰብል በአለም አቀፍ ደረጃ ጠቃሚ የሆነው ለምንድነው?,የምግብ ዋስትና እና ኢኮኖሚያዊ ጠቀሜታ
ሁለቱ ዋና ዋና የሙዝ ምድቦች ምንድናቸው?,ጣፋጭ ሙዝ እና ሙዝ ማብሰል
ለጣፋጭ ሙዝ ሌላ ስም ማን ይባላል?,የጣፋጭ ሙዝ
በአለም አቀፍ ንግድ በብዛትና በዋጋ ከፍተኛው ደረጃ ያለው የትኛው የሙዝ አይነት ነው?,ጣፋጭ ሙዝ
እንደ የዓለም ምግብና ግብርና ድርጅት በ2012 የሙዝ ገበያ ምን ያህል ዋጋ ነበረው?,14.01 ቢሊዮን ዶላር
በ 2012 ምን ያህል የሙዝ ምርት ሪፖርት ተደርጓል?,158.4 ሚሊዮን ቶን
በብዙ የአፍሪካ፣ የእስያ እና የላቲን አሜሪካ አገሮች ሙዝ ጠቃሚ የሆነው ለምንድነው?,እንደ የውጭ ምንዛሪ ምንጭ
በማደግ ላይ ባሉ አገሮች ውስጥ የሙዝ ዋና አጠቃቀም ምንድነው?,የምግብ ዋስትና
ከአካባቢ ሽፋንና ምርት አንፃር በኢትዮጵያ የመጀመሪያው የፍራፍሬ ሰብል ምን ያህል ነው?,ሙዝ
ኢትዮጵያ ውስጥ የትኛው ሙዝ ለምግብነት ይውላል?,ጣፋጭ የሙዝ ዓይነት
ኢትዮጵያ ውስጥ ሙዝ በብዛት የሚመረተው የት ነው?,በደጋማ ቦታዎች እና ወይን ክልሎች
በ2012 የመኸር ወቅት አጠቃላይ በሙዝ የተሸፈነው መሬት ስንት ነበር?,"69,387 ሄክታር"
በ2012 በኢትዮጵያ ምን ያህል የሙዝ ምርት ተመዝግቧል?,"539,413 ቶን"
ኢትዮጵያ ውስጥ አብዛኛው የሙዝ ምርት የት ነው ጥቅም ላይ የሚውለው?,የሀገር ውስጥ ገበያ
ኢትዮጵያ ሙዝ ወደየትኞቹ አገሮች ነው የምትልከው?,ጅቡቲ፣ ሶማሊያ እና ሱዳን
በኢትዮጵያ በእርሻ መሬት ያለው የሙዝ ምርትና ምርታማነት ምን ይመስላል?,በሄክታር 83.24 ኩንታል
በኢትዮጵያ በትላልቅ እርሻዎች ያለው የሙዝ ምርትና ምርታማነት ምን ይመስላል?,በሄክታር 84 ኩንታል
በኢትዮጵያ የሙዝ ምርት ዝቅተኛ እንዲሆን አንዳንድ ምክንያቶች ምንድን ናቸው?,የተሻሻሉ የሙዝ ዝርያዎች አቅርቦት እጥረት፣ የበሽታና የተባይ ጥቃት፣ ተስማሚ የአመራረት ቴክኖሎጂ እጥረት እና የግብይት ሥርዓት ደካማ መሆን
በኢትዮጵያ የሙዝ ምርታማነት መቀነስ አንዱ ምክንያት ምንድን ነው?,የተሻሻሉ የሙዝ ዝርያዎች አቅርቦት እጥረት
በኢትዮጵያ የሙዝ ምርታማነት ዝቅተኛ የሆነው ሌላው ምክንያት ምንድን ነው?,በሽታ እና ተባዮች ጥቃቶች
በኢትዮጵያ የሙዝ ምርትን የሚጎዳው ሌላ ነገር ምንድን ነው?,ተስማሚ የምርት ቴክኖሎጂ እጥረት
በኢትዮጵያ የሙዝ የግብይት ሥርዓት ምን ተብሎ ተገልጿል?,ደካማ የግብይት ሥርዓት
በኢትዮጵያ ያለው የሙዝ ምርት ከአማካይ በላይ ነው ወይስ በታች?,ከአማካይ በታች
የአለም አቀፍ የሙዝ ገበያን በተመለከተ የየትኛው ድርጅት መረጃ ተጠቅሷል?,የዓለም የምግብ እና የእርሻ ድርጅት
ሙዝ ለኢትዮጵያ ኢኮኖሚ ምን ያህል ጠቃሚ ነው?,እንደ የውጭ ምንዛሪ ምንጭ አስፈላጊ ነው
የኢትዮጵያ ማዕከላዊ ስታስቲክስ ኤጀንሲ ባወጣው ሪፖርት መሠረት አጠቃላይ በሙዝ የተሸፈነው ቦታ ስንት ነው?,"69,387 ሄክታር"
ኢትዮጵያ ሙዝ በመላክ ምን ያህል የውጭ ምንዛሪ ታገኛለች?,ወደ ጅቡቲ፣ ሶማሊያ እና ሱዳን በመላክ
ሙዝ በዋናነት ለምግብ ዋስትና የሚጠቀሙባቸው አገሮች የትኞቹ ናቸው?,በማደግ ላይ ያሉ ሀገሮች
የሙዝ ተክል ምን ዓይነት ሰብል ነው?,የብዙ ዓመት ሰብል
የሙዝ ተክል ለምን ያህል ጊዜ ማምረት ይችላል?,ለ አመታት
የሙዝ ተክል ቅጠሎችን እና ግንዶችን ይግለጹ.,ሰፊ ቅጠሎች እና ወፍራም ቅጠል የሚመስሉ ግንዶች
በምርት ውስጥ የሙዝ ዝርያዎች ምን ያህል ቁመት ሊኖራቸው ይችላል?,ከ 2 እስከ 9 ሜትር
የሙዝ ተክል ምን ያህል ቅጠሎች አሉት?,10-15 ቅጠሎች
የሙዝ ቅጠል ልኬቶች ምንድ ናቸው?,እስከ 2.70ሜ ርዝመት እና 0.60ሜ
አንድ የሙዝ ተክል ምን ያህል ጊዜ አዲስ ቅጠል ይሠራል?,በየ 7 እስከ 10 ቀናት
በተመጣጣኝ አፈር ውስጥ የሙዝ ሥሮች ምን ያህል ሊበቅሉ ይችላሉ?,ከ 5 ሜትር በላይ
አብዛኛው የሙዝ ተክል ሥሮች የት ይገኛሉ?,የላይኛው አፈር ውስጥ
"የሙዝ ተክል ርዝማኔ, መጠን እና ባህሪያት የሚወስነው ምንድን ነው?",የዝርያ ዓይነት
ሙዝ ከተከልን በኋላ አበባ ማብቀል የሚጀምረው መቼ ነው?,9-12 ወራት
ትክክለኛው የሙዝ ግንድ ከየት ነው የሚመጣው?,ከመሬት በታች ካለው ግንድ
ስለ ሙዝ አበባ ምን አስደሳች ነገር አለ?,አበባው አስደሳች ነው
የሙዝ አበባ ከፋብሪካው ጋር እንዴት ተያይዟል?,ከሙዝ ተክል ጋር እንደ እጅ ተያይዟል
የሙዝ ተክል የሚያድገው የት ነው?,በሴት አበባ ላይ
የካቨንዲሽ ሙዝ ተክል በቡድን ስንት ስንት እጅ ማምረት ይችላል?,እስከ 15 እጆች
በእያንዳንዱ እጅ በአማካይ ስንት ጣቶች አሉ?,150+ ጣቶች
እንደ መላካ ባሉ አካባቢዎች ሙዝ ለመሰብሰብ ምን ያህል ጊዜ ይወስዳል?,12-14 ወራት
ከፍታው ሙዝ በሚሰበሰብበት ጊዜ ላይ ምን ተጽዕኖ ያሳድራል?,"ከፍታው እየጨመረ ሲሄድ, የመድረሻ ጊዜው እስከ 18 ወራት ድረስ ነው"
ሙዝ ለምን ተፈላጊ ሰብል ሆነ?,ዘርፈ ብዙ ጥቅሞች እና ዓመቱን ሙሉ ምርት ምክንያት
ሙዝ ለአምራቾች ያለው ኢኮኖሚያዊ ጠቀሜታ ምንድነው?,ከፍተኛ ኢኮኖሚያዊ ጠቀሜታ ያለው እና የገቢ ምንጭ ነው
ሙዝ ምን ዓይነት ቪታሚኖች አሉት?,"ቫይታሚኖች A, B እና C"
ለምንድነው ሙዝ ኃይል ሰጭ ምግብን በተመለከተ ከሌሎች ፍራፍሬዎች የላቀ ተብሎ የሚወሰደው?,ምክንያቱም ኃይል ሰጪ ምግብን በተመለከተ የተሻሉ ናቸው
ሙዝ ለህጻናት፣ ለአረጋውያን እና ለታመሙ ሰዎች ተስማሚ የሆነው ለምንድነው?,ምክንያቱም በውስጣቸው ያሉት ካርቦሃይድሬትስ በቀላሉ ሊዋሃዱ ይችላሉ
በሙዝ ውስጥ የሚገኙት ዋና ዋና ንጥረ ነገሮች ምንድን ናቸው?,ካርቦሃይድሬት ፣ ፕሮቲን ፣ ስብ እና ማዕድናት
ሙዝ ምን ያህል መቶኛ ካርቦሃይድሬትስ ይይዛል?,2 በመቶ
ሙዝ ምን ያህል ፕሮቲን ይይዛል?,0.20 በመቶ
ሙዝ ምን ያህል መቶኛ ስብ ይይዛል?,0.20 በመቶ
ሙዝ ምን ያህል መቶኛ ማዕድናት ይዟል?,0.80 በመቶ
ሙዝ በተለምዶ በምግብ ውስጥ እንዴት ይበላል?,የተጠበሰ ወይም የተቀቀለ ፣ ከሰላጣ ጋር ወይም ያለ መብላት
ከምግብ በተጨማሪ የሙዝ አማራጮች ምንድናቸው?,አልኮሆል፣መድሃኒት፣ ሻምፑ እና የእንስሳት መኖ ለማምረት ያገለግላል
የሙዝ ቅጠሎች እንዴት ጥቅም ላይ ይውላሉ?,ለማሰር እና ለማስጌጥ
የሙዝ ፋይበር አንዳንድ አጠቃቀሞች ምንድናቸው?,በጉዞ እና እንደ የእንስሳት መኖ ጥቅም ላይ ይውላል
በበጋ ወቅት ሙዝ በብዛት ጥቅም ላይ የሚውለው ምንድነው?,ጉልበት ይሰጣል
ሙዝ ለኃይል ምን ጥቅም አለው?,ምክንያቱም በቀላሉ ሊዋሃዱ የሚችሉ ካርቦሃይድሬትስ (ካርቦሃይድሬትስ) ይይዛሉ
የሙዝ ካርቦሃይድሬት ይዘት ለምን ጠቃሚ ነው?,"የተጠበሰ, የተቀቀለ ወይም በሰላጣ ውስጥ ጥቅም ላይ ይውላል"
ሙዝ ከጥሬው ውጪ በምን አይነት መንገድ መጠቀም ይቻላል?,በቀላሉ ሊዋሃዱ የሚችሉ ናቸው
ሙዝ በምግብ መፍጨት ረገድ ምን ጥቅም አለው?,በመድሃኒት እና እንደ ሻምፑ ንጥረ ነገር ጥቅም ላይ ይውላል
የሙዝ አንዳንድ የመድኃኒት አጠቃቀሞች ምንድናቸው?,በመድሃኒት እና ሻምፑ ውስጥ
ለሙዝ ምርት ምን ዓይነት የአየር ሁኔታ ያስፈልጋል?,"ለሙዝ ምርት የሚያስፈልገው የአየር ንብረት ሞቃታማ እና እርጥበት አዘል ነው, ምክንያቱም ይህ አካባቢ የሙዝ ተክል ምርጥ እድገትን እና እድገትን ይደግፋል."
የአየር ንብረት ለሙዝ ምርት እንዴት ይለያያል?,"የአየር ንብረት ለሙዝ ምርት በተለያዩ ከፍታዎች ይለያያል, የሙቀት ልዩነት, እርጥበት እና ሌሎች የአካባቢ ሁኔታዎች እድገትን ይጎዳሉ."
በተለያዩ የአየር ሁኔታ ውስጥ የተለያዩ የሙዝ ዝርያዎችን መጠቀም ለምን ተገቢ ነው?,ተክሎቹ እንዲበለጽጉ እና በልዩ የአካባቢ ሁኔታ ውስጥ ከፍተኛ ጥራት ያለው ፍራፍሬን እንዲያፈሩ በተለያዩ የአየር ሁኔታ ውስጥ የተለያዩ የሙዝ ዝርያዎችን መጠቀም ተገቢ ነው.
ኢትዮጵያ ውስጥ የሙዝ ተክል እስከ ምን ያህል ከፍታ ሊበቅል ይችላል?,በኢትዮጵያ የሙዝ ተክል ከባህር ጠለል በላይ እስከ 1800 ሜትር ከፍ ሊል ይችላል፣ ምንም እንኳን ይህ ለበለጠ ጥራት ያለው ምርት ተመራጭ ባይሆንም።
በኢትዮጵያ የተሻለ ጥራት ያለው ሙዝ ለማምረት ትክክለኛው የከፍታ ክልል ምን ያህል ነው?,በኢትዮጵያ የተሻለ ጥራት ያለው ሙዝ ለማምረት የሚያስችል ምቹ የከፍታ ክልል ከባህር ጠለል በላይ ከ500 እስከ 1500 ሜትር ከፍታ ያለው ሲሆን እነዚህ ሁኔታዎች ጥሩ እድገትን ስለሚደግፉ ነው።
ሙዝ ከ 1800 ሜትር በላይ ከፍታ ላይ ቢተከል ምን ይሆናል?,"ሙዝ ከ 1800 ሜትር በላይ ከፍታ ላይ ከተተከለ አሁንም ሊበቅል ይችላል, ነገር ግን የፍራፍሬው ጥራት ሊጣስ ይችላል, እና የእድገቱ ሂደት ይቀንሳል."
ሙዝ ከ1800ሜ በላይ ከፍታ ላይ ፍሬ ለማምረት ምን ያህል ጊዜ ይፈጅበታል?,"ከ 1800 ሜትር በላይ ከፍታ ላይ ሙዝ ፍሬ ለማምረት ከ 19 ወራት በላይ ሊፈጅ ይችላል, በዝቅተኛ ከፍታ ላይ ካለው አጭር ጊዜ ጋር ሲነጻጸር."
ሞቃታማ እና እርጥበት አዘል የአየር ንብረት በሙዝ ምርት ላይ ያለው ተጽእኖ ምንድነው?,"ሞቃታማ እና እርጥበት አዘል የአየር ጠባይ የሙዝ ምርትን ያጠናክራል, ይህም አስፈላጊውን እርጥበት እና የሙቀት መጠን በመጨመር ኃይለኛ እድገትን እና ከፍተኛ የፍራፍሬ ምርትን ያመጣል."
በሙዝ ልማት ውስጥ ከፍታ ለምን አስፈላጊ ነው?,ከፍታ በሙዝ ልማት ውስጥ አስፈላጊ ነው ምክንያቱም የሙቀት መጠን ፣ እርጥበት እና ሌሎች የአየር ንብረት ሁኔታዎች ለሙዝ ተክል እድገት እና ፍራፍሬ ወሳኝ ናቸው።
